id,group_id,permission_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
93,4,32
94,4,33
95,4,34
96,4,35
97,4,36
98,4,40
99,4,44
100,4,48
101,4,49
102,4,50
103,4,51
104,4,52
105,4,56
106,4,25
107,4,26
108,4,27
109,4,28
110,4,24
111,5,32
112,5,36
113,5,40
114,5,45
115,5,46
116,5,47
117,5,48
118,5,52
119,5,53
120,5,54
121,5,55
122,5,56
123,5,28
124,5,29
125,5,30
126,5,31
127,5,37
128,5,38
129,5,39
