id,app,name,applied
1,contenttypes,0001_initial,2024-01-24 22:06:34.931166
2,contenttypes,0002_remove_content_type_name,2024-01-24 22:06:34.948216
3,auth,0001_initial,2024-01-24 22:06:34.974798
4,auth,0002_alter_permission_name_max_length,2024-01-24 22:06:34.993856
5,auth,0003_alter_user_email_max_length,2024-01-24 22:06:35.008004
6,auth,0004_alter_user_username_opts,2024-01-24 22:06:35.026877
7,auth,0005_alter_user_last_login_null,2024-01-24 22:06:35.041372
8,auth,0006_require_contenttypes_0002,2024-01-24 22:06:35.051794
9,auth,0007_alter_validators_add_error_messages,2024-01-24 22:06:35.064789
10,auth,0008_alter_user_username_max_length,2024-01-24 22:06:35.078789
11,auth,0009_alter_user_last_name_max_length,2024-01-24 22:06:35.091798
12,auth,0010_alter_group_name_max_length,2024-01-24 22:06:35.111399
13,auth,0011_update_proxy_permissions,2024-01-24 22:06:35.126834
14,auth,0012_alter_user_first_name_max_length,2024-01-24 22:06:35.141817
15,hotel_your_choice,0001_initial,2024-01-24 22:06:35.279432
16,admin,0001_initial,2024-01-24 22:06:35.312328
17,admin,0002_logentry_remove_auto_add,2024-01-24 22:06:35.337472
18,admin,0003_logentry_add_action_flag_choices,2024-01-24 22:06:35.380278
19,hotel_your_choice,0002_auto_20240124_1246,2024-01-24 22:06:35.443777
20,hotel_your_choice,0003_auto_20240124_1511,2024-01-24 22:06:35.533301
21,hotel_your_choice,0004_photo_hotel,2024-01-24 22:06:35.557300
22,hotel_your_choice,0005_alter_photo_hotel,2024-01-24 22:06:35.581630
23,hotel_your_choice,0006_alter_photo_hotel,2024-01-24 22:06:35.605611
24,sessions,0001_initial,2024-01-24 22:06:35.632673
25,hotel_your_choice,0007_auto_20240124_2242,2024-01-24 22:42:28.882134
26,hotel_your_choice,0008_auto_20240124_2333,2024-01-24 23:33:46.749660
27,hotel_your_choice,0002_auto_20240125_0027,2024-01-25 00:27:44.186607
28,hotel_your_choice,0003_auto_20240125_0120,2024-01-25 01:21:05.521086
29,hotel_your_choice,0004_alter_hotel_options,2024-01-25 02:41:18.914409
30,hotel_your_choice,0005_alter_hotel_amenities,2024-01-25 03:02:33.961253
31,hotel_your_choice,0002_remove_hotel_user,2024-01-25 20:11:56.101923
32,hotel_your_choice,0003_rating_hotel,2024-01-26 00:56:58.188485
