id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_contenttype,Can add content type
6,2,change_contenttype,Can change content type
7,2,delete_contenttype,Can delete content type
8,2,view_contenttype,Can view content type
9,3,add_session,Can add session
10,3,change_session,Can change session
11,3,delete_session,Can delete session
12,3,view_session,Can view session
13,4,add_permission,Can add permission
14,4,change_permission,Can change permission
15,4,delete_permission,Can delete permission
16,4,view_permission,Can view permission
17,5,add_group,Can add group
18,5,change_group,Can change group
19,5,delete_group,Can delete group
20,5,view_group,Can view group
21,6,add_amenity,Can add amenity
22,6,change_amenity,Can change amenity
23,6,delete_amenity,Can delete amenity
24,6,view_amenity,Can view amenity
25,7,add_customuser,Can add user
26,7,change_customuser,Can change user
27,7,delete_customuser,Can delete user
28,7,view_customuser,Can view user
29,8,add_booking,Can add booking
30,8,change_booking,Can change booking
31,8,delete_booking,Can delete booking
32,8,view_booking,Can view booking
33,9,add_comment,Can add comment
34,9,change_comment,Can change comment
35,9,delete_comment,Can delete comment
36,9,view_comment,Can view comment
37,10,add_hotel,Can add hotel
38,10,change_hotel,Can change hotel
39,10,delete_hotel,Can delete hotel
40,10,view_hotel,Can view hotel
41,11,add_photo,Can add photo
42,11,change_photo,Can change photo
43,11,delete_photo,Can delete photo
44,11,view_photo,Can view photo
45,12,add_rating,Can add rating
46,12,change_rating,Can change rating
47,12,delete_rating,Can delete rating
48,12,view_rating,Can view rating
49,13,add_useractivity,Can add user activity
50,13,change_useractivity,Can change user activity
51,13,delete_useractivity,Can delete user activity
52,13,view_useractivity,Can view user activity
53,14,add_userrating,Can add user rating
54,14,change_userrating,Can change user rating
55,14,delete_userrating,Can delete user rating
56,14,view_userrating,Can view user rating
57,15,add_user,Can add user
58,15,change_user,Can change user
59,15,delete_user,Can delete user
60,15,view_user,Can view user
